City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
180,Pontianak,ID,-0.0333,109.3333,75.18,94,20,3.44,few clouds
181,Kintinku,TZ,-5.8833,35.2333,75.33,50,65,11.12,broken clouds
182,Husavik,IS,66.0449,-17.3389,45.3,98,100,15.23,light rain
183,Beringovskiy,RU,63.05,179.3167,47.68,74,0,3.6,clear sky
184,Sanchor,IN,24.7553,71.7722,91.2,54,3,18.77,clear sky
185,Baruun-Urt,MN,46.6806,113.2792,62.69,58,22,5.03,few clouds
186,Matamoros,MX,25.5333,-103.25,89.24,19,0,12.19,clear sky
187,Santiago,CL,-33.4569,-70.6483,60.28,49,49,3.44,scattered clouds
188,Araouane,ML,18.9048,-3.5265,96.48,26,98,18.28,overcast clouds
189,Charters Towers,AU,-20.1,146.2667,59.77,93,24,7.34,few clouds
190,Hofn,IS,64.2539,-15.2082,55.42,62,75,13.8,broken clouds
191,Ous,RU,60.9058,61.5186,62.58,83,44,1.57,scattered clouds
192,Itarema,BR,-2.9248,-39.9167,82.2,70,88,11.52,overcast clouds
193,Ahipara,NZ,-35.1667,173.1667,57.31,93,94,6.98,moderate rain
194,Tsumeb,NA,-19.2333,17.7167,65.5,28,2,4.14,clear sky
195,Laguna,US,38.421,-121.4238,70.18,45,0,9.22,clear sky
196,Taltal,CL,-25.4,-70.4833,63.09,59,0,6.6,clear sky
197,Tilichiki,RU,60.4667,166.1,44.01,94,100,2.68,light rain
198,Sao Gabriel,BR,-30.3364,-54.32,55.15,93,99,15.55,overcast clouds
199,Bangassou,CF,4.7413,22.8184,70.36,98,100,9.42,heavy intensity rain
200,Costa Rica,BR,-23.4167,-54.65,68.77,93,64,12.68,broken clouds
201,Aklavik,CA,68.2191,-135.0107,70.92,34,58,18.03,broken clouds
202,Bilma,NE,18.6853,12.9164,100.2,11,46,12.57,scattered clouds
203,Padang,ID,-0.9492,100.3543,73.45,91,100,3.27,overcast clouds
204,Port Hueneme,US,34.1478,-119.1951,78.33,71,90,7.0,overcast clouds
205,Jasidih,IN,24.5167,86.65,82.22,73,90,7.49,moderate rain
206,Kruisfontein,ZA,-34.0033,24.7314,59.11,31,27,6.91,scattered clouds
207,Banamba,ML,13.55,-7.45,90.97,37,95,3.65,light rain
208,Sitka,US,57.0531,-135.33,61.16,72,86,5.95,overcast clouds
209,Osorno,CL,-40.5667,-73.15,49.24,71,40,5.75,scattered clouds
210,Saskylakh,RU,71.9167,114.0833,60.1,47,100,11.16,overcast clouds
211,Lujan,AR,-34.5703,-59.105,55.11,43,18,19.8,few clouds
212,Nabire,ID,-3.3667,135.4833,74.89,91,83,3.15,broken clouds
213,Varzea Da Palma,BR,-17.5981,-44.7308,85.84,19,0,2.68,clear sky
214,Crawfordsville,US,40.0411,-86.8745,85.51,55,43,14.41,scattered clouds
215,Kawalu,ID,-7.3817,108.2082,72.86,95,99,1.41,overcast clouds
216,Puerto Madryn,AR,-42.7692,-65.0385,49.69,40,2,22.86,clear sky
217,Panaba,MX,21.2833,-88.2667,92.28,46,91,9.75,overcast clouds
218,Uyemskiy,RU,64.4743,40.8524,59.05,82,75,0.0,broken clouds
219,Karangasem,ID,-8.45,115.6167,77.9,84,49,7.34,scattered clouds
220,Port Elizabeth,ZA,-33.918,25.5701,53.89,76,0,3.44,clear sky
221,Vite,IN,17.2833,74.55,76.77,69,100,14.29,overcast clouds
222,Lavumisa,SZ,-27.31,31.892,55.76,53,0,3.58,clear sky
223,Camabatela,AO,-8.1881,15.375,65.95,48,100,3.91,overcast clouds
224,Port Blair,IN,11.6667,92.75,80.64,89,40,2.3,mist
225,Tiksi,RU,71.6872,128.8694,31.48,91,97,5.12,overcast clouds
226,Shetpe,KZ,44.1667,52.1167,76.8,47,73,16.71,light rain
227,Severo-Kurilsk,RU,50.6789,156.125,49.17,76,100,8.16,overcast clouds
228,Miyako,JP,39.6367,141.9525,59.05,87,0,4.92,clear sky
229,Puerto Carreno,CO,6.189,-67.4859,87.78,62,40,4.61,scattered clouds
230,Sambava,MG,-14.2667,50.1667,72.45,87,6,5.03,clear sky
231,Digha,IN,21.6833,87.55,84.38,79,100,18.01,overcast clouds
232,Denpasar,ID,-8.65,115.2167,82.06,89,40,9.22,scattered clouds
233,Allonnes,FR,47.9674,0.1581,96.84,20,0,3.44,clear sky
234,Goderich,CA,43.7501,-81.7165,66.9,72,0,6.91,clear sky
235,Carora,VE,10.1755,-70.0827,97.39,29,55,12.55,broken clouds
236,Sergeyevka,KZ,53.88,67.4158,63.14,82,82,3.2,broken clouds
237,Kandrian,PG,-6.2167,149.55,75.47,93,99,6.64,moderate rain
238,Puerto Maldonado,PE,-12.6,-69.1833,86.4,58,40,5.75,scattered clouds
239,Sola,VU,-13.8833,167.55,81.09,78,100,17.34,overcast clouds
240,Vao,NC,-22.6667,167.4833,75.04,83,100,14.61,overcast clouds
241,Hammerfest,NO,70.6634,23.6821,45.05,65,0,12.66,clear sky
