City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
117,Karratha,AU,75.52,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
119,Saint Anthony,US,81.79,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
120,Isangel,VU,77.5,overcast clouds,-19.55,169.2667,Tanna Lodge
122,Poum,NC,76.23,overcast clouds,-20.2333,164.0167,
126,Harper,LR,79.09,broken clouds,4.375,-7.7169,Screensaver
127,Pangai,TO,78.91,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
133,Kavaratti,IN,83.26,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
137,Guerrero Negro,MX,75.04,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
140,Kutum,SD,88.74,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
143,Marsh Harbour,BS,79.66,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
148,Faya,SA,75.72,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
149,Jardim,BR,75.06,moderate rain,-21.4803,-56.1381,Estancia Hotel - Jardim MS
152,Birao,CF,78.66,overcast clouds,10.2849,22.7882,
156,Hirara,JP,81.54,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
168,Cabo San Lucas,MX,88.61,broken clouds,22.8909,-109.9124,Vista Roof Restaurant
170,Robertsport,LR,76.19,heavy intensity rain,6.7533,-11.3686,Kwepunha Retreat
171,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
177,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Pirineos
179,Tual,ID,81.93,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
180,Pontianak,ID,75.18,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
181,Kintinku,TZ,75.33,broken clouds,-5.8833,35.2333,
186,Matamoros,MX,89.24,clear sky,25.5333,-103.25,Quinta Belem
192,Itarema,BR,82.2,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
204,Port Hueneme,US,78.33,overcast clouds,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
205,Jasidih,IN,82.22,moderate rain,24.5167,86.65,OYO 18873 Hotel Comfort
213,Varzea Da Palma,BR,85.84,clear sky,-17.5981,-44.7308,Casa Fernandes
214,Crawfordsville,US,85.51,scattered clouds,40.0411,-86.8745,"Holiday Inn Express & Suites Crawfordsville, an IHG Hotel"
219,Karangasem,ID,77.9,scattered clouds,-8.45,115.6167,Villa Campuhan
221,Vite,IN,76.77,overcast clouds,17.2833,74.55,Hotel Dreamland
224,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
226,Shetpe,KZ,76.8,light rain,44.1667,52.1167,Rtsm Shetpe Analog
